tourney_date,surface,tourney_level,round,winner_id,winner_name,winner_hand,winner_age,winner_height,winner_rank,winner_rank_points,winner_recent_wins,loser_id,loser_name,loser_hand,loser_age,loser_height,loser_rank,loser_rank_points,loser_recent_wins,winner_hard_exp,winner_clay_exp,winner_grass_exp,loser_hard_exp,loser_clay_exp,loser_grass_exp,rank_points_ratio,h2h_wins,target,rank_diff,exp_diff,recent_wins_diff,age_diff,momentum,rank_ratio,experience_gap,winner_days_since,loser_days_since,days_since_last_match,relative_momentum,rank_pressure,recovery_indicator
2000-02-04,Clay,D,RR,108661,Ivan Miranda,R,17.6,175.0,756.0,0.0,0,103525,Dentry Mortimer,U,19.9,0.0,0.0,13.0,0,0,0,0,0,0,0,0.0,1,0,-13.0,0,0,-2.299999999999997,0,0.0,0.0,0.0,-4172.0,4172.0,0.0,0.0,0.0
2000-02-04,Clay,D,RR,101611,Fernando Meligeni,L,30.6,180.0,31.0,1443.0,3,101897,Cedric Pioline,R,28.8,188.0,14.0,1015.0,0,0,0,0,3,0,0,0.7033957033957033,1,0,428.0,0,3,1.8000000000000007,0,1.4216748768472907,0.0,-815.0,-1172.0,357.0,1.0714285714285712,428.0,1071.0
2000-02-04,Clay,D,RR,102965,Bohdan Ulihrach,R,22.9,188.0,138.0,272.0,2,102539,Jamie Delgado,R,24.9,178.0,139.0,273.0,0,0,1,0,2,0,0,1.0036764705882353,1,0,-1.0,1,2,-2.0,2,0.9963369963369964,0.6931471805599453,0.0,-2670.0,2670.0,0.6666666666666666,0.0,5340.0
2000-02-04,Clay,D,RR,101825,Francisco Rodriguez,R,29.2,0.0,0.0,0.0,0,102740,Manuel Tejada,R,23.9,0.0,0.0,0.0,0,0,0,0,0,1,0,0.0,1,0,0.0,-1,0,5.300000000000001,0,1.0,-0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-04,Clay,D,RR,102283,Paulo Carvallo,R,26.2,0.0,461.0,0.0,0,102830,Yari Bernardo,R,23.6,0.0,0.0,50.0,0,0,0,0,0,0,0,0.0,1,0,-50.0,0,0,2.599999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-04,Clay,D,RR,101825,Paulo Carvallo,R,29.2,0.0,461.0,0.0,0,102830,Manuel Tejada,R,23.6,0.0,0.0,50.0,0,0,1,0,0,1,0,0.0,1,0,-50.0,0,0,5.599999999999998,0,0.0,0.0,0.0,-3682.0,3682.0,0.0,0.0,0.0
2000-02-04,Clay,D,RR,108812,Francisco Rodriguez,R,20.2,0.0,0.0,2.0,0,102740,Jose Baires,U,23.9,0.0,1162.0,0.0,0,0,0,0,0,0,0,0.0,1,0,2.0,0,0,-3.6999999999999993,0,1.0,0.0,0.0,-2254.0,2254.0,0.0,2.0,0.0
2000-02-04,Clay,D,RR,103096,Francisco Costa,R,22.1,180.0,153.0,824.0,3,102239,Arnaud Clement,R,26.6,173.0,42.0,250.0,0,0,0,0,3,0,0,0.3033980582524271,1,0,574.0,0,3,-4.5,0,3.296,0.0,-4125.0,-794.0,-3331.0,0.5454545454545454,574.0,-9993.0
2000-02-04,Clay,D,RR,102106,Albert Costa,R,27.4,180.0,18.0,351.0,2,102610,Davide Sanguinetti,R,24.6,188.0,112.0,1261.0,0,0,0,0,2,0,0,3.592592592592593,1,0,-910.0,0,2,2.799999999999997,0,0.27835051546391754,0.0,-2306.0,-2271.0,-35.0,0.5263157894736846,0.0,-70.0
2000-02-04,Clay,D,RR,102247,Alex Corretja,R,26.5,180.0,32.0,444.0,1,102374,Andrea Gaudenzi,R,25.8,183.0,90.0,1002.0,4,4,0,0,1,0,0,2.256756756756757,3,0,-558.0,0,-3,0.6999999999999993,0,0.4431137724550898,0.0,-1102.0,-1907.0,805.0,-1.764705882352942,0.0,-2415.0
2000-02-04,Clay,D,RR,102780,Frederic Niemeyer,R,23.8,190.0,227.0,146.0,0,103201,Adrian Garcia,R,21.7,175.0,416.0,61.0,0,0,0,0,0,0,0,2.39344262295082,1,1,85.0,0,0,2.1000000000000014,0,2.3934426229508197,0.0,0.0,0.0,0.0,0.0,85.0,0.0
2000-02-04,Clay,D,RR,102839,Nicolas Lapentti,R,23.5,188.0,9.0,1641.0,3,104027,Pablo Gonzalez,R,17.6,178.0,0.0,0.0,0,3,0,0,0,1,0,0.0,1,1,1641.0,-1,3,5.899999999999999,-3,1.0,-0.6931471805599453,0.0,0.0,0.0,0.4347826086956523,1641.0,0.0
2000-02-04,Clay,D,RR,102192,Luis Adrian Morejon,R,26.9,178.0,251.0,130.0,0,104027,Pablo Gonzalez,R,17.6,178.0,0.0,0.0,0,0,0,0,0,0,0,0.0,1,1,130.0,0,0,9.299999999999997,0,1.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0
