tourney_date,surface,tourney_level,round,winner_id,winner_name,winner_hand,winner_age,winner_height,winner_rank,winner_rank_points,winner_recent_wins,loser_id,loser_name,loser_hand,loser_age,loser_height,loser_rank,loser_rank_points,loser_recent_wins,winner_hard_exp,winner_clay_exp,winner_grass_exp,loser_hard_exp,loser_clay_exp,loser_grass_exp,rank_points_ratio,h2h_wins
2000-02-21,Clay,A,R32,101969,Orlin Stanoytchev,R,28.4,185.0,107.0,376.0,2,103324,Arnaud Di Pasquale,R,21.0,185.0,55.0,704.0,1,2,0,0,1,0,0,0.5340909090909091,1
2000-02-21,Clay,A,R32,102905,Stefan Koubek,L,23.1,175.0,38.0,882.0,5,102287,Albert Portas,R,26.3,188.0,85.0,459.0,2,5,2,0,2,0,0,1.9215686274509804,2
2000-02-21,Clay,A,F,103428,Juan Ignacio Chela,R,20.5,190.0,129.0,296.0,0,103264,Mariano Puerta,L,21.4,180.0,128.0,296.0,2,0,3,0,2,0,0,1.0,2
2000-02-21,Clay,A,R32,102644,Franco Squillari,L,24.5,183.0,46.0,772.0,3,102869,Galo Blanco,R,23.4,173.0,75.0,546.0,2,3,2,0,2,0,0,1.413919413919414,1
2000-02-21,Clay,A,SF,103428,Juan Ignacio Chela,R,20.5,190.0,129.0,296.0,0,102905,Stefan Koubek,L,23.1,175.0,38.0,882.0,4,0,1,0,4,0,0,0.3356009070294785,1
2000-02-21,Clay,A,QF,102644,Franco Squillari,L,24.5,183.0,46.0,772.0,3,102839,Nicolas Lapentti,R,23.5,188.0,9.0,1641.0,3,3,1,0,3,0,0,0.4704448507007922,2
2000-02-21,Clay,A,QF,103264,Mariano Puerta,L,21.4,180.0,128.0,296.0,0,103084,Guillermo Canas,R,22.2,185.0,74.0,551.0,2,0,1,0,2,0,0,0.5372050816696915,2
2000-02-21,Clay,A,QF,102905,Stefan Koubek,L,23.1,175.0,38.0,882.0,5,103292,Gaston Gaudio,R,21.2,175.0,65.0,627.0,3,5,1,0,3,0,0,1.4066985645933014,2
2000-02-21,Clay,A,QF,103428,Juan Ignacio Chela,R,20.5,190.0,129.0,296.0,0,103082,Markus Hantschk,R,22.3,188.0,103.0,387.0,3,0,0,0,3,0,0,0.7648578811369509,1
2000-02-21,Clay,A,R16,102839,Nicolas Lapentti,R,23.5,188.0,9.0,1641.0,5,102227,Sargis Sargsian,R,26.7,180.0,57.0,703.0,4,4,1,0,4,0,0,2.334281650071124,1
2000-02-21,Clay,A,R16,102644,Franco Squillari,L,24.5,183.0,46.0,772.0,3,101086,Ronald Agenor,R,35.3,180.0,91.0,432.0,4,3,0,0,4,0,0,1.787037037037037,1
2000-02-21,Clay,A,R16,103084,Guillermo Canas,R,22.2,185.0,74.0,551.0,0,101897,Fernando Meligeni,L,28.9,180.0,29.0,1015.0,2,0,0,0,2,0,0,0.5428571428571428,1
2000-02-21,Clay,A,R16,103264,Mariano Puerta,L,21.4,180.0,128.0,296.0,0,102024,Hernan Gumy,R,28.0,188.0,67.0,622.0,3,0,0,0,3,0,0,0.4758842443729904,1
2000-02-21,Clay,A,R16,103292,Gaston Gaudio,R,21.2,175.0,65.0,627.0,4,103060,Alejandro Hernandez,R,22.4,180.0,243.0,137.0,0,4,0,0,0,0,0,4.576642335766423,1
2000-02-21,Clay,A,R16,102905,Stefan Koubek,L,23.1,175.0,38.0,882.0,5,101735,Richard Fromberg,R,29.8,196.0,70.0,581.0,5,5,0,0,5,0,0,1.5180722891566265,2
2000-02-21,Clay,A,R16,103082,Markus Hantschk,R,22.3,188.0,103.0,387.0,4,101969,Orlin Stanoytchev,R,28.4,185.0,107.0,376.0,4,4,0,0,4,0,0,1.0292553191489362,1
2000-02-21,Clay,A,R16,103428,Juan Ignacio Chela,R,20.5,190.0,129.0,296.0,0,102856,Gustavo Kuerten,R,23.4,190.0,6.0,2056.0,3,0,2,0,2,1,0,0.1439688715953307,1
2000-02-21,Clay,A,SF,103264,Mariano Puerta,L,21.4,180.0,128.0,296.0,0,102644,Franco Squillari,L,24.5,183.0,46.0,772.0,4,0,2,0,4,0,0,0.3834196891191709,2
2000-02-21,Clay,A,R32,101735,Richard Fromberg,R,29.8,196.0,70.0,581.0,4,102987,Andre Sa,R,22.8,185.0,90.0,440.0,1,4,0,0,1,0,0,1.3204545454545455,1
2000-02-21,Clay,A,R32,103060,Alejandro Hernandez,R,22.4,180.0,243.0,137.0,2,102133,Laurence Tieleman,R,27.3,180.0,101.0,394.0,4,2,0,0,4,0,0,0.3477157360406091,1
2000-02-21,Clay,A,R32,103292,Gaston Gaudio,R,21.2,175.0,65.0,627.0,4,101532,Francisco Clavet,L,31.3,183.0,42.0,836.0,3,4,1,0,3,0,0,0.75,2
2000-02-21,Clay,A,R32,103264,Mariano Puerta,L,21.4,180.0,128.0,296.0,0,102950,Fernando Vicente,R,23.0,180.0,45.0,788.0,4,0,3,0,4,0,0,0.3756345177664975,2
